Team;TotalProfit
Chelsea;11.25429
Crystal Palace;10.48429
Watford;6.13429
Tottenham;6.09571
Swansea;5.58
Burnley;2.82857
Liverpool;0.81143
West Ham;-0.97714
Everton;-1.05286
West Brom;-1.45286
Arsenal;-2.75571
Hull;-3.43429
Man City;-4.14571
Bournemouth;-6.45143
Leicester;-7.10143
Man United;-7.29143
Sunderland;-11.41714
Stoke;-11.56429
Southampton;-13.19571
Middlesbrough;-26.33857
