Team;TotalProfit
Sunderland;18.507
Crystal Palace;13.328
Newcastle;9.213
Chelsea;7.311
Stoke;6.3995
Everton;5.513
Liverpool;5.0394
Aston Villa;4.933
Tottenham;3.2963
Man City;2.232
Arsenal;1.0389
West Ham;-0.659
Southampton;-1.866
Hull;-6.722
Man United;-7.67
Cardiff;-9.131
West Brom;-11.544
Fulham;-11.773
Norwich;-13.379
Swansea;-13.934
