Referee;RefCorrectPredictions;RefTotalPredictions;RefOddSuccessRate
A Marriner;18;25;72
A Taylor;10;19;52.63158
C Foy;14;24;58.33333
C Pawson;6;10;60
H Webb;17;31;54.83871
J Moss;13;23;56.52174
K Friend;11;18;61.11111
L Mason;15;24;62.5
L Probert;14;22;63.63636
M Atkinson;19;28;67.85714
M Clattenburg;19;28;67.85714
M Dean;8;27;29.62963
M Jones;11;18;61.11111
M Oliver;17;27;62.96296
N Swarbrick;11;20;55
P Dowd;20;26;76.92308
R East;3;5;60
R Madley;3;5;60
