Team;TotalProfit;AvgOddHome;AvgOddAway;HomeOddSuccessRate;AwayOddSuccessRate;TeamOddSuccessRate
Arsenal;-2.511;1.64321;2.45089;57.89474;63.15789;60.52632
Aston Villa;-3.829;3.30947;6.23163;63.15789;42.10526;52.63158
Chelsea;1.58;1.56753;2.27216;63.15789;42.10526;52.63158
Everton;-5.128;1.96484;3.081;57.89474;31.57895;44.73684
Fulham;-5.719;2.75174;5.09537;68.42105;42.10526;55.26316
Liverpool;-10.642;1.69532;2.49637;52.63158;47.36842;50
Man City;-2.076;1.43153;1.93511;73.68421;36.84211;55.26316
Man United;6.815;1.45253;1.97211;84.21053;52.63158;68.42105
Newcastle;-12.691;2.68979;4.80347;68.42105;63.15789;65.78947
Norwich;4.696;3.43474;6.31637;42.10526;52.63158;47.36842
QPR;-14.789;3.40537;6.60984;31.57895;63.15789;47.36842
Reading;-15.462;3.83274;7.50042;31.57895;78.94737;55.26316
Southampton;-9.168;3.01742;6.26721;26.31579;52.63158;39.47368
Stoke;-15.43;2.87621;5.51916;47.36842;47.36842;47.36842
Sunderland;-4.892;3.12321;6.23611;36.84211;57.89474;47.36842
Swansea;-2.337;2.72789;5.20874;47.36842;47.36842;47.36842
Tottenham;6.893;1.84405;2.89384;52.63158;73.68421;63.15789
West Brom;6.846;2.73763;4.98737;47.36842;52.63158;50
West Ham;-5.588;2.81979;5.43705;63.15789;57.89474;60.52632
Wigan;-10.061;3.19147;5.475;47.36842;57.89474;52.63158
