Team;TotalProfit
Wigan;18.88818
Newcastle;13.99164
QPR;5.83991
Man City;5.71573
West Brom;4.55636
Man United;3.72545
Swansea;3.34273
Arsenal;2.70691
Norwich;2.66636
Blackburn;1.82727
Everton;-1.19673
Bolton;-2.12591
Fulham;-2.51645
Tottenham;-3.77891
Sunderland;-5.54118
Stoke;-7.17473
Liverpool;-8.91945
Chelsea;-11.22982
Aston Villa;-13.335
Wolves;-24.03
