Team;TotalProfit
Wolves;10.72182
Blackpool;8.55182
West Brom;7.95091
Sunderland;6.15273
Newcastle;1.82545
Liverpool;-0.23636
Man City;-0.69455
Stoke;-1.05091
Tottenham;-1.68273
Aston Villa;-3.32727
Man United;-3.87182
Everton;-5.67818
Wigan;-5.80909
Arsenal;-6.43909
Bolton;-7.07909
Blackburn;-7.85455
Chelsea;-8.76364
Fulham;-12.38727
Birmingham;-15.05909
West Ham;-17.84636
