Referee;RefCorrectPredictions;RefTotalPredictions;RefOddSuccessRate
A Marriner;12;24;50
A Taylor;15;24;62.5
C Foy;11;21;52.38095
C Pawson;1;1;100
H Webb;17;30;56.66667
J Moss;15;23;65.21739
K Friend;12;24;50
L Mason;15;25;60
L Probert;11;24;45.83333
M Atkinson;13;23;56.52174
M Clattenburg;9;21;42.85714
M Dean;14;28;50
M Halsey;9;18;50
M Jones;12;22;54.54545
M Oliver;13;23;56.52174
N Swarbrick;10;18;55.55556
P Dowd;10;25;40
R East;3;5;60
