Referee;RefCorrectPredictions;RefTotalPredictions;RefOddSuccessRate
A Madley;4;11;36.36364
A Marriner;14;24;58.33333
A Taylor;22;32;68.75
C Kavanagh;12;26;46.15385
C Pawson;12;23;52.17391
D Coote;11;16;68.75
G Scott;10;18;55.55556
J Moss;14;25;56
K Friend;15;25;60
L Mason;8;16;50
M Atkinson;16;32;50
M Dean;12;27;44.44444
M Oliver;17;32;53.125
P Bankes;7;11;63.63636
P Tierney;14;25;56
S Attwell;7;21;33.33333
S Hooper;6;11;54.54545
T Robinson;1;1;100
