Team;TotalProfit
Crystal Palace;19.74
Leicester;11.84714
Wolves;10.06714
Newcastle;9.39714
West Ham;6.21286
Cardiff;6.03286
Liverpool;2.93143
Man City;2.79143
Tottenham;1.73143
Watford;1.67286
Bournemouth;-0.87429
Burnley;-1.32
Arsenal;-1.60286
Everton;-3.22714
Chelsea;-4.50714
Man United;-5.21143
Brighton;-6.79
Southampton;-8.47143
Fulham;-16.88143
Huddersfield;-22.91571
