Referee;RefCorrectPredictions;RefTotalPredictions;RefOddSuccessRate
A Marriner;13;22;59.09091
A Taylor;5;18;27.77778
C Foy;11;22;50
H Webb;15;29;51.72414
J Moss;8;11;72.72727
K Friend;9;20;45
L Mason;14;24;58.33333
L Probert;13;22;59.09091
M Atkinson;16;27;59.25926
M Clattenburg;10;24;41.66667
M Dean;16;30;53.33333
M Halsey;9;21;42.85714
M Jones;16;25;64
M Oliver;10;21;47.61905
N Swarbrick;4;11;36.36364
P Dowd;14;28;50
P Walton;9;15;60
S Attwell;6;10;60
