Team;TotalProfit;AvgOddHome;AvgOddAway;HomeOddSuccessRate;AwayOddSuccessRate;TeamOddSuccessRate
Arsenal;-1.60286;1.85639;2.85293;73.68421;52.63158;63.15789
Bournemouth;-0.87429;3.30368;6.16752;52.63158;63.15789;57.89474
Brighton;-6.79;4.39361;7.65902;31.57895;57.89474;44.73684
Burnley;-1.32;4.9091;8.78278;57.89474;52.63158;55.26316
Cardiff;6.03286;5.31782;9.87248;57.89474;68.42105;63.15789
Chelsea;-4.50714;1.61797;2.28316;57.89474;57.89474;57.89474
Crystal Palace;19.74;3.2309;5.84015;57.89474;47.36842;52.63158
Everton;-3.22714;2.75083;4.12406;47.36842;47.36842;47.36842
Fulham;-16.88143;4.73534;7.73346;68.42105;84.21053;76.31579
Huddersfield;-22.91571;5.52241;10.52466;63.15789;73.68421;68.42105
Leicester;11.84714;2.80165;5.04474;47.36842;57.89474;52.63158
Liverpool;2.93143;1.34902;1.70586;89.47368;73.68421;81.57895
Man City;2.79143;1.22752;1.4297;94.73684;73.68421;84.21053
Man United;-5.21143;1.96707;2.7188;57.89474;57.89474;57.89474
Newcastle;9.39714;4.04256;7.06075;57.89474;42.10526;50
Southampton;-8.47143;3.37947;6.37256;31.57895;57.89474;44.73684
Tottenham;1.73143;1.81316;2.69053;68.42105;73.68421;71.05263
Watford;1.67286;3.24887;5.3306;63.15789;52.63158;57.89474
West Ham;6.21286;3.42594;5.42338;47.36842;47.36842;47.36842
Wolves;10.06714;2.97286;4.67368;47.36842;31.57895;39.47368
