Referee;RefCorrectPredictions;RefTotalPredictions;RefOddSuccessRate
A Madley;1;2;50
A Marriner;14;27;51.85185
A Taylor;19;32;59.375
C Kavanagh;14;24;58.33333
C Pawson;18;26;69.23077
D Coote;6;11;54.54545
G Scott;13;17;76.47059
J Moss;17;27;62.96296
K Friend;14;27;51.85185
L Mason;10;19;52.63158
L Probert;9;18;50
M Atkinson;13;29;44.82759
M Dean;17;29;58.62069
M Oliver;18;30;60
P Tierney;18;24;75
R East;6;10;60
S Attwell;13;20;65
S Hooper;3;8;37.5
