Referee;RefCorrectPredictions;RefTotalPredictions;RefOddSuccessRate
A Marriner;16;28;57.14286
A Taylor;22;30;73.33333
C Kavanagh;1;1;100
C Pawson;16;24;66.66667
G Scott;6;8;75
J Moss;23;30;76.66667
K Friend;13;20;65
L Mason;12;19;63.15789
L Probert;2;4;50
M Atkinson;11;27;40.74074
M Clattenburg;9;22;40.90909
M Dean;19;30;63.33333
M Jones;11;18;61.11111
M Oliver;22;33;66.66667
N Swarbrick;15;24;62.5
P Tierney;4;10;40
R East;5;11;45.45455
R Madley;18;30;60
S Attwell;6;10;60
