Team;TotalProfit
Burnley;19.43875
Man City;6.8375
Man United;4.7175
Newcastle;2.44
Bournemouth;1.01625
Watford;0.825
Huddersfield;0.05
West Brom;-0.2925
Swansea;-0.79375
Tottenham;-1.835
Chelsea;-3.00625
Crystal Palace;-3.48
Leicester;-5.7275
Liverpool;-6.0775
Everton;-7.76625
West Ham;-7.7825
Brighton;-8.63125
Arsenal;-9.22125
Stoke;-16.4675
Southampton;-22.775
