Referee;RefCorrectPredictions;RefTotalPredictions;RefOddSuccessRate
A Marriner;14;27;51.85185
A Taylor;7;13;53.84615
C Foy;16;27;59.25926
H Webb;13;29;44.82759
J Moss;1;2;50
K Friend;9;18;50
L Mason;9;23;39.13043
L Probert;17;26;65.38462
M Atkinson;17;26;65.38462
M Clattenburg;17;23;73.91304
M Dean;16;30;53.33333
M Halsey;8;21;38.09524
M Jones;12;26;46.15385
M Oliver;6;16;37.5
N Swarbrick;1;2;50
P Dowd;13;30;43.33333
P Walton;8;27;29.62963
S Attwell;7;14;50
