Team;TotalProfit;AvgOddHome;AvgOddAway;HomeOddSuccessRate;AwayOddSuccessRate;TeamOddSuccessRate
Arsenal;-2.75571;1.60421;2.23526;73.68421;68.42105;71.05263
Bournemouth;-6.45143;3.17481;5.65241;57.89474;52.63158;55.26316
Burnley;2.82857;4.41594;8.40203;31.57895;73.68421;52.63158
Chelsea;11.25429;1.54105;2.00556;89.47368;73.68421;81.57895
Crystal Palace;10.48429;3.18677;4.99865;52.63158;52.63158;52.63158
Everton;-1.05286;2.35429;3.64602;68.42105;42.10526;55.26316
Hull;-3.43429;4.3915;7.96955;52.63158;78.94737;65.78947
Leicester;-7.10143;2.82248;4.34481;57.89474;47.36842;52.63158
Liverpool;0.81143;1.60406;2.13579;63.15789;42.10526;52.63158
Man City;-4.14571;1.47602;1.84489;57.89474;68.42105;63.15789
Man United;-7.29143;1.68602;2.37985;42.10526;68.42105;55.26316
Middlesbrough;-26.33857;3.83331;7.94391;52.63158;52.63158;52.63158
Southampton;-13.19571;2.26008;3.79564;52.63158;57.89474;55.26316
Stoke;-11.56429;3.11226;5.78436;63.15789;63.15789;63.15789
Sunderland;-11.41714;5.0191;9.04391;63.15789;78.94737;71.05263
Swansea;5.58;3.67248;6.43639;63.15789;73.68421;68.42105
Tottenham;6.09571;1.65835;2.38195;78.94737;63.15789;71.05263
Watford;6.13429;3.75436;6.95737;57.89474;63.15789;60.52632
West Brom;-1.45286;3.54511;6.73541;73.68421;47.36842;60.52632
West Ham;-0.97714;3.35714;4.82383;63.15789;47.36842;55.26316
