Team;TotalProfit;AvgOddHome;AvgOddAway;HomeOddSuccessRate;AwayOddSuccessRate;TeamOddSuccessRate
Arsenal;-9.22125;1.78164;2.69099;84.21053;42.10526;63.15789
Bournemouth;1.01625;3.51711;6.79329;57.89474;42.10526;50
Brighton;-8.63125;3.77388;8.05757;47.36842;63.15789;55.26316
Burnley;19.43875;3.91829;7.14789;57.89474;26.31579;42.10526
Chelsea;-3.00625;1.55645;2.18921;63.15789;57.89474;60.52632
Crystal Palace;-3.48;3.79382;6.13072;57.89474;52.63158;55.26316
Everton;-7.76625;3.13914;5.41382;68.42105;52.63158;60.52632
Huddersfield;0.05;5.04033;9.02822;52.63158;57.89474;55.26316
Leicester;-5.7275;2.90882;5.1248;42.10526;57.89474;50
Liverpool;-6.0775;1.56664;2.025;57.89474;68.42105;63.15789
Man City;6.8375;1.28507;1.55441;84.21053;78.94737;81.57895
Man United;4.7175;1.55434;2.07204;84.21053;52.63158;68.42105
Newcastle;2.44;3.46599;7.19046;36.84211;52.63158;44.73684
Southampton;-22.775;2.84987;4.82579;42.10526;42.10526;42.10526
Stoke;-16.4675;4.06125;6.93987;36.84211;52.63158;44.73684
Swansea;-0.79375;4.84579;8.08737;52.63158;57.89474;55.26316
Tottenham;-1.835;1.51289;2.16599;68.42105;63.15789;65.78947
Watford;0.825;3.39757;6.52763;36.84211;68.42105;52.63158
West Brom;-0.2925;3.97197;7.04164;31.57895;63.15789;47.36842
West Ham;-7.7825;3.51862;6.20678;42.10526;52.63158;47.36842
