#;Team;P
1;Man City;98
2;Liverpool;97
3;Chelsea;72
4;Tottenham;71
5;Arsenal;70
6;Man United;66
7;Wolves;57
8;Everton;54
9;Leicester;52
10;West Ham;52
11;Watford;50
12;Crystal Palace;49
13;Newcastle;45
14;Bournemouth;45
15;Burnley;40
16;Southampton;39
17;Brighton;36
18;Cardiff;34
19;Fulham;26
20;Huddersfield;16
