Team;TotalProfit;AvgOddHome;AvgOddAway;HomeOddSuccessRate;AwayOddSuccessRate;TeamOddSuccessRate
Arsenal;-6.43909;1.48478;2.161;57.89474;47.36842;52.63158
Aston Villa;-3.32727;2.47383;4.45986;42.10526;57.89474;50
Birmingham;-15.05909;2.97321;5.70273;36.84211;52.63158;44.73684
Blackburn;-7.85455;2.88971;5.44158;47.36842;68.42105;57.89474
Blackpool;8.55182;3.92244;7.37981;36.84211;52.63158;44.73684
Bolton;-7.07909;2.85225;5.09574;52.63158;63.15789;57.89474
Chelsea;-8.76364;1.34751;1.84646;73.68421;47.36842;60.52632
Everton;-5.67818;2.06129;3.62531;36.84211;31.57895;34.21053
Fulham;-12.38727;2.5899;5.12469;57.89474;36.84211;47.36842
Liverpool;-0.23636;1.81708;2.81411;52.63158;36.84211;44.73684
Man City;-0.69455;1.71684;2.49144;63.15789;57.89474;60.52632
Man United;-3.87182;1.44713;1.91569;94.73684;36.84211;65.78947
Newcastle;1.82545;2.72727;5.35531;26.31579;47.36842;36.84211
Stoke;-1.05091;2.82675;5.66818;57.89474;68.42105;63.15789
Sunderland;6.15273;2.78258;5.14455;42.10526;42.10526;42.10526
Tottenham;-1.68273;1.83139;3.03861;47.36842;42.10526;44.73684
West Brom;7.95091;2.81919;6.08904;52.63158;47.36842;50
West Ham;-17.84636;3.13526;6.2145;36.84211;52.63158;44.73684
Wigan;-5.80909;3.64761;6.70928;47.36842;47.36842;47.36842
Wolves;10.72182;3.27789;6.66306;42.10526;68.42105;55.26316
