Team;TotalProfit
Wolves;18.23
Southampton;16.15
Newcastle;13.41
Burnley;12.04
Liverpool;8.76
Man United;6.89
Sheffield United;6.12
Bournemouth;-0.25
West Ham;-1.39
Chelsea;-1.43
Crystal Palace;-1.59
Norwich;-4.12
Leicester;-4.53
Man City;-4.68
Tottenham;-6.06
Everton;-8.15
Arsenal;-9.19
Brighton;-9.7
Watford;-12.02
Aston Villa;-12.63
