Team;TotalProfit;AvgOddHome;AvgOddAway;HomeOddSuccessRate;AwayOddSuccessRate;TeamOddSuccessRate
Arsenal;-5.32571;1.53602;2.08451;63.15789;42.10526;52.63158
Aston Villa;-28.56714;4.27556;7.12368;52.63158;78.94737;65.78947
Bournemouth;-3.00286;2.57895;4.75278;42.10526;52.63158;47.36842
Chelsea;-14.35143;1.77068;2.38767;31.57895;36.84211;34.21053
Crystal Palace;-1.45286;2.80895;4.84308;63.15789;36.84211;50
Everton;-12.03714;2.3109;3.68248;36.84211;42.10526;39.47368
Leicester;22.26714;2.33564;3.39744;63.15789;36.84211;50
Liverpool;-2.97;1.82053;2.77098;42.10526;47.36842;44.73684
Man City;-8.52714;1.52203;1.97586;63.15789;47.36842;55.26316
Man United;0.85286;1.79015;2.57774;57.89474;36.84211;47.36842
Newcastle;-4.38429;3.39774;5.70526;42.10526;73.68421;57.89474
Norwich;-9.65714;3.19308;5.43496;47.36842;73.68421;60.52632
Southampton;6.68286;2.10015;3.20925;57.89474;31.57895;44.73684
Stoke;10.04143;2.88211;4.82692;31.57895;36.84211;34.21053
Sunderland;-5.50286;3.50481;6.81195;47.36842;52.63158;50
Swansea;7.23;2.73774;5.38489;36.84211;57.89474;47.36842
Tottenham;0.27;1.87917;2.63639;47.36842;42.10526;44.73684
Watford;-3.70857;3.08241;5.33729;52.63158;57.89474;55.26316
West Brom;0.76714;3.33128;6.43233;47.36842;36.84211;42.10526
West Ham;34.21571;2.71707;5.03451;21.05263;26.31579;23.68421
