Referee;RefCorrectPredictions;RefTotalPredictions;RefOddSuccessRate
A Marriner;8;24;33.33333
A Taylor;16;31;51.6129
C Pawson;11;28;39.28571
G Scott;2;4;50
J Moss;14;25;56
K Friend;11;20;55
K Stroud;2;2;100
L Mason;15;22;68.18182
M Atkinson;12;29;41.37931
M Clattenburg;8;30;26.66667
M Dean;19;33;57.57576
M Jones;14;28;50
M Oliver;7;26;26.92308
N Swarbrick;11;18;61.11111
R East;15;25;60
R Madley;13;26;50
S Attwell;2;4;50
