Team;TotalProfit
Stoke;21.155
Swansea;19.8525
Crystal Palace;13.4
Tottenham;5.0025
West Brom;3.80625
Aston Villa;2.2475
Southampton;0.4425
Chelsea;0.2625
Man City;-1.04125
Man United;-1.455
Arsenal;-2.3
Liverpool;-4.12
West Ham;-4.9
Newcastle;-6.0875
Leicester;-6.41625
Burnley;-7.7075
Everton;-11.83375
Hull;-13.17875
QPR;-14.075
Sunderland;-14.54125
