Team;TotalProfit
Tottenham;6.893
West Brom;6.846
Man United;6.815
Norwich;4.696
Chelsea;1.58
Man City;-2.076
Swansea;-2.337
Arsenal;-2.511
Aston Villa;-3.829
Sunderland;-4.892
Everton;-5.128
West Ham;-5.588
Fulham;-5.719
Southampton;-9.168
Wigan;-10.061
Liverpool;-10.642
Newcastle;-12.691
QPR;-14.789
Stoke;-15.43
Reading;-15.462
