Referee;RefCorrectPredictions;RefTotalPredictions;RefOddSuccessRate
A Marriner;18;28;64.28571
A Taylor;13;27;48.14815
C Kavanagh;7;15;46.66667
C Pawson;17;24;70.83333
G Scott;15;20;75
J Moss;13;29;44.82759
K Friend;15;21;71.42857
L Mason;9;18;50
L Probert;5;14;35.71429
M Atkinson;12;28;42.85714
M Dean;15;25;60
M Jones;6;12;50
M Oliver;16;30;53.33333
N Swarbrick;14;20;70
P Tierney;9;16;56.25
R East;9;18;50
R Madley;11;18;61.11111
S Attwell;6;15;40
