Team;TotalProfit;AvgOddHome;AvgOddAway;HomeOddSuccessRate;AwayOddSuccessRate;TeamOddSuccessRate
Arsenal;-9.19;2.15368;2.99526;57.89474;31.57895;44.73684
Aston Villa;-12.63;4.34;6.58158;57.89474;63.15789;60.52632
Bournemouth;-0.25;3.82474;6.46;21.05263;73.68421;47.36842
Brighton;-9.7;3.30316;6.16789;31.57895;42.10526;36.84211
Burnley;12.04;3.76526;6.21158;47.36842;42.10526;44.73684
Chelsea;-1.43;1.73632;2.34789;57.89474;57.89474;57.89474
Crystal Palace;-1.59;4.26211;6.50526;68.42105;47.36842;57.89474
Everton;-8.15;2.69842;3.75632;42.10526;57.89474;50
Leicester;-4.53;2.08263;3.02316;68.42105;63.15789;65.78947
Liverpool;8.76;1.39895;1.65;94.73684;78.94737;86.84211
Man City;-4.68;1.24053;1.44158;78.94737;63.15789;71.05263
Man United;6.89;2.03316;2.91211;42.10526;42.10526;42.10526
Newcastle;13.41;4.21053;7.58895;42.10526;57.89474;50
Norwich;-4.12;4.49158;8.64579;68.42105;78.94737;73.68421
Sheffield United;6.12;3.35368;5.33211;47.36842;36.84211;42.10526
Southampton;16.15;3.02421;6.07474;42.10526;36.84211;39.47368
Tottenham;-6.06;2.15368;2.81421;63.15789;31.57895;47.36842
Watford;-12.02;3.31526;5.98632;31.57895;63.15789;47.36842
West Ham;-1.39;3.69105;5.88;47.36842;57.89474;52.63158
Wolves;18.23;2.56;4.28316;52.63158;36.84211;44.73684
