Team;TotalProfit;AvgOddHome;AvgOddAway;HomeOddSuccessRate;AwayOddSuccessRate;TeamOddSuccessRate
Arsenal;2.70691;1.65171;2.60886;68.42105;52.63158;60.52632
Aston Villa;-13.335;2.81794;5.18337;47.36842;31.57895;39.47368
Blackburn;1.82727;3.37555;6.85971;52.63158;57.89474;55.26316
Bolton;-2.12591;3.33801;6.57569;42.10526;57.89474;50
Chelsea;-11.22982;1.50318;2.23967;63.15789;47.36842;55.26316
Everton;-1.19673;2.28066;4.16301;52.63158;42.10526;47.36842
Fulham;-2.51645;2.60714;4.97443;52.63158;52.63158;52.63158
Liverpool;-8.91945;1.68394;2.44931;31.57895;47.36842;39.47368
Man City;5.71573;1.40589;1.89081;94.73684;57.89474;76.31579
Man United;3.72545;1.36414;1.83026;78.94737;73.68421;76.31579
Newcastle;13.99164;2.4648;4.4817;57.89474;36.84211;47.36842
Norwich;2.66636;3.16461;6.98467;63.15789;47.36842;55.26316
QPR;5.83991;3.5854;6.49646;26.31579;73.68421;50
Stoke;-7.17473;2.89367;5.16844;26.31579;57.89474;42.10526
Sunderland;-5.54118;2.91651;5.19275;42.10526;52.63158;47.36842
Swansea;3.34273;3.08539;6.35317;31.57895;57.89474;44.73684
Tottenham;-3.77891;1.70037;2.56616;78.94737;52.63158;65.78947
West Brom;4.55636;3.06493;5.40422;47.36842;36.84211;42.10526
Wigan;18.88818;3.96701;7.42809;36.84211;52.63158;44.73684
Wolves;-24.03;3.84407;7.42249;47.36842;52.63158;50
